PSG_DATE;PSG_DEVICE;PSG_TRANSACTION;PL_ID;PL_EXT;OP_ID;OP_EXT;GD_ID;GD_VER;CRD_TECH;CRD_NO;CRD_SERIAL_NO;CRD_USAGE_COUNTER;CRD_TRIP_COUNTER;CRD_UNITS;IN_DATE;DT_ID;ROUTE_ID;BEGIN_TIME;VT_HASH_CODE;VT_BLANK_GD_ID;VT_SALE;TARIFF_KIND;TRN_CODE;LAYOUT_ID;SECTOR_OF_TICKET;ANTIFROD_RES;FILE_ID;CRD_REFILL_COUNTER;GD2_ID;PROLONG;CRD_DATE_BEGIN;CRD_DATE_END;LAST_SALE_DATE;THIRD_PARTY_DATA_SRC;CC_TRN_ID;PAYMENT_ID;PAYMENT_TYPE;PAYMENT_REQUEST
29.01.23 17:10:02;45226;18162;447;210;73;938;4793;636;S;3030132104;1565546270646784;69;0;0;29.01.23 17:20:10;1;;;;;;;;;;;1716031731;0;;1;;;;;;;;
29.01.23 17:10:02;45372;28214;439;203;73;8532;4795;636;S;1570773128;1565519554142208;1421;0;0;29.01.23 17:20:11;1;;;;;;;;;;;1716032264;0;;1;;;;;;;;
29.01.23 17:10:02;45525;24918;439;203;73;8532;4793;636;S;2732150152;1550208242540800;622;0;0;29.01.23 17:20:13;1;;;;;;;;;;;1716033845;0;;1;;;;;;;;
29.01.23 17:10:02;45543;22556;439;214;73;8729;4793;636;S;1803907720;1564060896788736;623;0;0;29.01.23 17:20:13;1;;;;;;;;;;;1716034046;0;;1;;;;;;;;
29.01.23 17:10:02;45993;19749;447;210;73;938;4793;636;S;2757765000;1549030096101632;330;0;0;29.01.23 17:20:11;1;;;;;;;;;;;1716032307;0;;1;;;;;;;;
29.01.23 17:10:02;49372;6073;442;208;73;516;4793;636;S;1509478280;1553173023670272;1613;0;0;29.01.23 17:22:14;1;;;;;;;;;;;1716041398;0;;1;;;;;;;;
29.01.23 17:10:02;50557;8786;447;210;73;938;4458;636;S;2000682;1246888914463616;113;0;0;29.01.23 17:22:13;1;283;29.01.23 17:10:00;;4430;;;;;;;1716040895;10;;1;;;;;;;;
29.01.23 17:10:03;21311;30152;458;212;73;3268;4793;636;S;1820596360;1557779746128128;1112;0;0;29.01.23 17:20:11;1;;;;;;;;;;;1716032749;0;;1;;;;;;;;
29.01.23 17:10:03;45009;19852;427;207;73;3970;4414;636;S;26033509;1175888666976384;77;0;384;29.01.23 17:20:14;1;283;29.01.23 17:10:00;;4413;;1;;;;;1716034463;287;;1;;;;;;;;
29.01.23 17:10:03;45254;13933;447;210;73;938;4414;636;S;22904262;1162720436641152;100;0;252,76;29.01.23 17:20:11;1;42;29.01.23 16:42:00;;4413;;1;;;;;1716032495;124;;;;;;;;;;
29.01.23 17:10:03;45358;44712;439;203;73;8532;4793;636;S;2374783112;1559377198289152;316;0;0;29.01.23 17:20:12;1;;;;;;;;;;;1716033322;0;;1;;;;;;;;
29.01.23 17:10:03;49316;12374;436;207;73;955;4831;636;S;2883181;1251685849641600;64;0;0;29.01.23 17:20:15;1;283;29.01.23 17:10:00;;4430;;;;;;;1716035013;35;;1;;;;;;;;
29.01.23 17:10:03;50557;8787;447;210;73;938;4831;636;S;25522402;1266811114710656;0;0;0;29.01.23 17:22:13;1;283;29.01.23 17:10:00;;4430;;;;;;;1716040895;4;;1;;;;;;;;
29.01.23 17:10:03;63837;3738;442;203;73;812;4829;636;S;32436347;1207399906897024;109;0;0;30.01.23 04:55:07;1;283;29.01.23 17:10:00;;4430;;;;;;;1716386279;21;;1;;;;;;;;
29.01.23 17:10:04;7159;46847;451;801;73;1511;4953;636;S;3078677640;14658264517204998;48;0;0;29.01.23 17:20:08;1;283;29.01.23 17:10:00;;4665;;;;;;;1716031382;4;;1;;;;;;;;
29.01.23 17:10:04;19254;54916;437;209;73;9221;4831;636;S;41045109;1298111891902610;79;0;0;29.01.23 17:22:08;1;283;29.01.23 17:10:00;;4430;;;;;;;1716037271;2;;1;;;;;;;;
29.01.23 17:10:04;45007;19042;447;210;73;938;4640;636;S;12604023;1266969757241728;0;32;0;29.01.23 17:20:08;1;283;29.01.23 17:10:00;;4430;;;;;;;1716031199;1;;1;;;;;;;;
29.01.23 17:10:04;45372;28216;439;203;73;8532;4795;636;S;1570773128;1565519554142208;1422;0;0;29.01.23 17:20:11;1;;;;;;;;;;;1716032264;0;;1;;;;;;;;
29.01.23 17:10:04;45502;4295;427;211;73;931;4793;636;S;3029165192;1553143210402304;426;0;0;29.01.23 17:20:12;1;;;;;;;;;;;1716033467;0;;1;;;;;;;;
29.01.23 17:10:04;45957;19895;437;209;73;9221;4829;636;S;30263237;1206469376436608;69;0;0;29.01.23 17:20:13;1;283;29.01.23 17:10:00;;4430;;;;;;;1716033892;5;;2;;;;;;;;
29.01.23 17:10:05;7172;28837;458;214;73;3160;4829;636;S;28584743;1147261908050560;3;0;0;29.01.23 17:20:17;1;283;29.01.23 17:10:00;;4430;;;;;;;1716036512;11;;1;;;;;;;;
29.01.23 17:10:05;16766;64342;450;211;73;3458;4829;636;S;40290050;1180346178867090;38;0;0;29.01.23 17:20:16;1;283;29.01.23 17:10:00;;4430;;;;;;;1716036047;6;;2;;;;;;;;
29.01.23 17:10:05;18591;10154;447;210;73;938;4829;636;S;42392925;14658270965127430;27;0;0;29.01.23 17:20:17;1;283;29.01.23 17:10:00;;4430;;;;;;;1716036580;1;;1;;;;;;;;
29.01.23 17:10:05;21163;35279;458;811;73;4217;4973;636;S;18131373;1273413155968640;68;0;0;29.01.23 17:20:13;1;283;29.01.23 17:10:00;;4693;;;;;;;1716033626;2;;1;;;;;;;;
29.01.23 17:10:05;45344;6699;439;203;73;8532;4793;636;S;3324808840;14656067231185638;26;0;0;29.01.23 17:22:13;1;;;;;;;;;;;1716040576;0;;1;;;;;;;;
29.01.23 17:10:05;45465;15965;427;205;73;9059;4414;636;S;3911088840;1241656840185216;88;0;391;29.01.23 17:22:07;1;283;29.01.23 17:10:00;;4423;;1;;;;;1716037252;15;;1;;;;;;;;
29.01.23 17:10:05;45579;26264;427;205;73;9059;4829;636;S;34761339;1256447763771010;29;0;0;29.01.23 17:20:14;1;283;29.01.23 17:10:00;;4430;;;;;;;1716034694;1;;1;;;;;;;;
29.01.23 17:10:05;45993;19751;447;210;73;938;4793;636;S;2224755848;1565628933890304;1649;0;0;29.01.23 17:20:11;1;;;;;;;;;;;1716032307;0;;1;;;;;;;;
29.01.23 17:10:05;49322;5356;7304;210;73;9121;4953;636;S;3014503048;1565489077117440;86;0;0;29.01.23 17:22:09;1;283;29.01.23 17:10:00;;4665;;;;;;;1716037701;11;;2;;;;;;;;
29.01.23 17:10:05;52494;15123;461;215;73;3161;4414;636;S;36831761;1191434578588290;34;0;92;29.01.23 17:20:14;1;283;29.01.23 17:10:00;;4413;;1;;;;;1716034647;191;;1;;;;;;;;
29.01.23 17:10:06;17378;63460;436;207;73;955;4833;636;S;3932083703;1280022432607616;7;0;0;29.01.23 17:22:09;1;283;29.01.23 17:10:00;;4474;;;;;;;1716037781;23;;2;;;;;;;;
29.01.23 17:10:06;19254;54917;437;209;73;9221;4831;636;S;28599180;1289915762434688;78;0;0;29.01.23 17:22:08;1;283;29.01.23 17:10:00;;4430;;;;;;;1716037271;10;;1;;;;;;;;
29.01.23 17:10:06;36095;20027;433;211;73;5172;4414;636;S;8071648;1146026302256256;72;0;107,26;29.01.23 17:22:14;1;283;29.01.23 17:10:00;;4413;;1;;;;;1716041438;67;;1;;;;;;;;
29.01.23 17:10:06;45226;18163;447;210;73;938;4793;636;S;3033890952;1551325776113920;428;0;0;29.01.23 17:20:10;1;;;;;;;;;;;1716031731;0;;1;;;;;;;;
29.01.23 17:10:06;45525;24920;439;203;73;8532;4829;636;S;16091473;1210775755641728;66;0;0;29.01.23 17:20:13;1;283;29.01.23 17:10:00;;4430;;;;;;;1716033845;14;;1;;;;;;;;
29.01.23 17:10:06;45859;27664;450;207;73;1224;4793;636;S;1907363464;1561683687575808;2273;0;0;29.01.23 17:20:10;1;;;;;;;;;;;1716031851;0;;1;;;;;;;;
29.01.23 17:10:06;49262;3832;437;209;73;9221;4831;636;S;39025331;1270145757180802;72;0;0;29.01.23 17:22:08;1;283;29.01.23 17:10:00;;4430;;;;;;;1716037429;4;;1;;;;;;;;
29.01.23 17:10:06;50557;8788;447;210;73;938;4829;636;S;43563074;14656060931537126;53;0;0;29.01.23 17:22:13;1;283;29.01.23 17:10:00;;4430;;;;;;;1716040895;1;;1;;;;;;;;
29.01.23 17:10:07;45579;26265;427;205;73;9059;4793;636;S;3016231816;1553301050450432;421;0;0;29.01.23 17:20:14;1;;;;;;;;;;;1716034694;0;;1;;;;;;;;
29.01.23 17:10:07;45993;19753;447;210;73;938;4793;636;S;2401361032;1558932383961344;1064;0;0;29.01.23 17:20:11;1;;;;;;;;;;;1716032307;0;;1;;;;;;;;
29.01.23 17:10:08;35942;4819;26;201;73;542;4793;636;S;1421253512;1560254585880576;3759;0;0;29.01.23 17:20:13;1;;;;;;;;;;;1716034131;0;;1;;;;;;;;
29.01.23 17:10:08;45372;28218;439;203;73;8532;4793;636;S;2042344584;1564904141508864;3405;0;0;29.01.23 17:20:11;1;;;;;;;;;;;1716032264;0;;1;;;;;;;;
29.01.23 17:10:08;49316;12375;436;207;73;955;4820;636;S;3901179174;45109229878866010;0;0;0;29.01.23 17:20:15;1;;29.01.23 17:10:08;C8C7ADF0882B83E52716C6EEFAEFCB7926C7D9B95ED297B0AB17B1D195632BBA;;;1;61;;;;1716035013;0;;;;;29.01.23 17:10:08;;4931629012023171008c7a42efb5v103;;0;0
